1 0 0 0, 0 1 0 0, 0 0 1 0, 0 0 0 1
1 1.117749E-05 0.0001148775 -0.0001246869, -1.105746E-05 0.9999995 -0.001044834 0.006405826, -0.0001148892 0.001044833 0.9999995 -0.008207622, 0 0 0 1
1 -5.926792E-06 6.135897E-05 0.0003879603, 5.967801E-06 0.9999998 -0.0006683696 0.004501465, -6.135499E-05 0.0006683699 0.9999998 -0.005113252, 0 0 0 1
1 3.272255E-05 0.0001902618 -0.001743534, -3.257603E-05 0.9999997 -0.0007700454 0.004906432, -0.0001902869 0.0007700392 0.9999997 -0.00640649, 0 0 0 1
1 2.998397E-05 4.688497E-05 0.0004415988, -2.995117E-05 0.9999998 -0.0006994113 0.004272766, -4.690593E-05 0.0006994099 0.9999998 -0.005936511, 0 0 0 1
1 -6.168872E-06 4.090943E-05 0.0009659314, 6.194844E-06 0.9999998 -0.000634927 0.003892737, -4.09055E-05 0.0006349273 0.9999998 -0.005791164, 0 0 0 1
1 7.929734E-06 9.199358E-05 -6.635902E-05, -7.870991E-06 0.9999998 -0.0006385341 0.003841936, -9.199862E-05 0.0006385334 0.9999998 -0.005708449, 0 0 0 1
1 5.684194E-07 6.736068E-05 0.0001449149, -5.282294E-07 0.9999998 -0.0005966386 0.003468209, -6.736101E-05 0.0005966385 0.9999998 -0.005656058, 0 0 0 1
1 1.11023E-05 0.0001027677 -0.00043318, -1.103776E-05 0.9999998 -0.000628077 0.003639547, -0.0001027747 0.0006280759 0.9999998 -0.005808091, 0 0 0 1
1 1.966635E-05 4.869496E-05 0.0005755069, -1.963705E-05 0.9999998 -0.0006014983 0.003662599, -4.870678E-05 0.0006014974 0.9999998 -0.005689146, 0 0 0 1
1 -1.672093E-05 7.135504E-05 0.0006589264, 1.676548E-05 0.9999998 -0.000624363 0.003519325, -7.134458E-05 0.0006243641 0.9999998 -0.00579733, 0 0 0 1
1 4.161399E-06 8.513953E-05 3.705857E-05, -4.11224E-06 0.9999998 -0.0005773827 0.003268993, -8.514192E-05 0.0005773823 0.9999998 -0.005583359, 0 0 0 1
1 1.220889E-05 9.346323E-05 -0.0003663455, -1.214944E-05 0.9999998 -0.0006360165 0.003787313, -9.347098E-05 0.0006360154 0.9999998 -0.005914825, 0 0 0 1
1 3.346601E-06 5.365094E-05 0.0003560361, -3.318274E-06 0.9999999 -0.0005279914 0.002789335, -5.36527E-05 0.0005279913 0.9999999 -0.005286373, 0 0 0 1
1 -1.514376E-06 9.023851E-05 -0.0001266254, 1.573403E-06 0.9999998 -0.0006541191 0.003861603, -9.02375E-05 0.0006541192 0.9999998 -0.005885691, 0 0 0 1
1 -7.632122E-06 4.809277E-05 0.0007576207, 7.663184E-06 0.9999998 -0.000645914 0.004048061, -4.808783E-05 0.0006459144 0.9999998 -0.005683787, 0 0 0 1
0.9999999 1.179963E-05 0.0002627657 -0.0001579064, -1.190624E-05 0.9999999 0.0004056947 -0.003544822, -0.0002627608 -0.0004056979 0.9999999 -0.005842545, 0 0 0 1
0.9999999 0.0001636635 0.0003576712 0.00823088, -0.0001655799 0.9999856 0.005364444 -0.0402381, -0.0003567881 -0.005364502 0.9999856 -0.009252824, 0 0 0 1
1 -0.0001855477 9.555844E-05 0.01608419, 0.0001853274 0.9999973 0.002299831 -0.01401106, -9.598491E-05 -0.002299814 0.9999974 -0.009921203, 0 0 0 1
0.9999999 -0.0002755802 -0.0002501956 0.01802359, 0.0002758784 0.9999992 0.001192716 -0.006032109, 0.0002498667 -0.001192785 0.9999993 -0.005920046, 0 0 0 1
0.9999998 -0.0002684474 -0.0006702904 0.0234373, 0.0002681077 0.9999998 -0.0005068202 0.009029998, 0.0006704264 0.0005066404 0.9999996 0.0006056204, 0 0 0 1
0.9999999 -0.0002771453 -0.0002375064 0.03964105, 0.0002778424 0.9999956 0.002940196 -0.01574712, 0.0002366905 -0.002940262 0.9999956 -0.01488816, 0 0 0 1
0.9999959 -0.0007255329 -0.002774923 0.07201522, 0.0007421918 0.9999817 0.006007073 -0.03508119, 0.002770514 -0.006009108 0.9999781 -0.002013111, 0 0 0 1
0.9999854 -0.0008254014 -0.005338039 0.1147441, 0.0008521457 0.9999871 0.005009801 -0.02355321, 0.005333835 -0.005014276 0.9999732 0.02304791, 0 0 0 1
0.9999676 -0.001264055 -0.007945105 0.1712747, 0.001289133 0.9999942 0.003152051 -0.005901354, 0.007941075 -0.003162191 0.9999635 0.04319502, 0 0 0 1
0.9999501 -0.002080179 -0.009767573 0.2050096, 0.002118442 0.9999901 0.003908586 -0.009555841, 0.009759346 -0.003929083 0.9999447 0.0475005, 0 0 0 1
0.9998839 -0.002810392 -0.01497276 0.2988156, 0.002869285 0.9999882 0.003913314 -0.0003826942, 0.01496158 -0.003955821 0.9998803 0.08104353, 0 0 0 1
0.9998596 -0.002882625 -0.01650481 0.3067806, 0.00291954 0.9999933 0.002212943 0.008576556, 0.01649832 -0.002260819 0.9998614 0.1089078, 0 0 0 1
0.9999135 -0.002902616 -0.01283351 0.3091165, 0.002948926 0.9999892 0.003591095 -0.005474116, 0.01282295 -0.003628629 0.9999112 0.04972118, 0 0 0 1
0.9997646 -0.004737109 -0.02117561 0.4602056, 0.004820459 0.9999808 0.003886837 0.009177131, 0.02115679 -0.003987998 0.9997682 0.08064315, 0 0 0 1
0.9994154 -0.004427141 -0.0339007 0.6322895, 0.004652292 0.9999676 0.006565523 -0.008795962, 0.03387053 -0.006719401 0.9994037 0.07174876, 0 0 0 1
0.9988235 -0.004256415 -0.04830532 0.8134496, 0.004699719 0.9999478 0.009067263 -0.02096947, 0.04826421 -0.009283616 0.9987915 0.08162435, 0 0 0 1
0.9981325 -0.003652223 -0.06097603 1.009689, 0.004347364 0.999927 0.01127146 -0.03912623, 0.06093041 -0.01151549 0.9980756 0.08603992, 0 0 0 1
0.9976022 -0.003474793 -0.06912214 1.181261, 0.00450938 0.9998801 0.01481712 -0.06749197, 0.06906237 -0.01509329 0.9974982 0.04695119, 0 0 0 1
0.9969459 -0.002885944 -0.0780426 1.284246, 0.004230679 0.9998453 0.01707094 -0.08314623, 0.07798127 -0.01734898 0.9968039 0.02864362, 0 0 0 1
0.9958413 -0.002391578 -0.09107418 1.513082, 0.004123856 0.999814 0.01883709 -0.10331, 0.09101219 -0.01913433 0.9956659 0.04099911, 0 0 0 1
0.9947389 -0.002900087 -0.1024019 1.723175, 0.004752197 0.9998294 0.01784736 -0.09214453, 0.1023326 -0.0182401 0.994583 0.0576257, 0 0 0 1
0.9940554 -0.003081273 -0.1088312 1.844779, 0.00488735 0.9998547 0.01633237 -0.08460793, 0.1087651 -0.01676718 0.993926 0.01352902, 0 0 0 1
0.992589 -0.003262635 -0.1214762 1.985841, 0.004945209 0.9998959 0.01355216 -0.06480899, 0.1214193 -0.01405245 0.9925019 0.05492165, 0 0 0 1
0.9909427 -0.003513334 -0.1342394 2.220963, 0.006293838 0.9997742 0.02029428 -0.10046, 0.1341378 -0.02095535 0.9907411 0.0050885, 0 0 0 1
0.9894673 -0.0013477 -0.1447505 2.318494, 0.004155707 0.999809 0.01909834 -0.105476, 0.1446971 -0.01949872 0.9892839 0.022756, 0 0 0 1
0.9879111 -0.001184159 -0.1550169 2.453612, 0.004204588 0.9998076 0.0191581 -0.1068396, 0.1549644 -0.01957828 0.987726 0.02762499, 0 0 0 1
0.9878639 -0.001900528 -0.1553105 2.554756, 0.004314852 0.999875 0.01520951 -0.08068604, 0.1552622 -0.01569506 0.9877486 -0.1184168, 0 0 0 1
0.9869289 0.0002840124 -0.1611559 2.715285, 0.003038491 0.9997879 0.02036988 -0.1241365, 0.1611275 -0.02059329 0.9867187 -0.1730944, 0 0 0 1
0.9848447 -0.0002476134 -0.173438 2.876612, 0.003867704 0.9997817 0.02053488 -0.1218123, 0.1733951 -0.02089448 0.9846307 -0.1489243, 0 0 0 1
0.9831995 0.0004115969 -0.1825338 2.983838, 0.002886669 0.9998373 0.01780329 -0.1115714, 0.1825114 -0.0180311 0.9830384 -0.1573663, 0 0 0 1
0.9812812 -0.0004305718 -0.1925798 3.079982, 0.004247806 0.9998026 0.01940912 -0.1115891, 0.1925334 -0.01986385 0.9810894 -0.1430375, 0 0 0 1
0.9799485 -0.00117851 -0.1992472 3.184827, 0.004527318 0.9998561 0.01635254 -0.07816917, 0.1991993 -0.01692671 0.9798128 -0.1490631, 0 0 0 1
